"player_image","player_name","overall","position","club","club_image","league","league_image","nationality","nationality_image","revision","pace","shooting","passing","dribbling","defending","physicality"
"https://cdn.futbin.com/content/fifa22/img/players/237067.png?v=23","Pelé",98,"CAM","FUT 22 ICONS","https://cdn.futbin.com/content/fifa22/img/clubs/112658.png","Icons","https://cdn.futbin.com/content/fifa22/img/league/2118.png","Brazil","https://cdn.futbin.com/content/fifa22/img/nation/54.png","Icon",95,96,93,96,60,76
"https://cdn.futbin.com/content/fifa22/img/players/37576.png?v=23","Ronaldo",96,"ST","FUT 22 ICONS","https://cdn.futbin.com/content/fifa22/img/clubs/112658.png","Icons","https://cdn.futbin.com/content/fifa22/img/league/2118.png","Brazil","https://cdn.futbin.com/content/fifa22/img/nation/54.png","Icon",97,95,81,95,45,76
"https://cdn.futbin.com/content/fifa22/img/players/237074.png?v=23","Diego Maradona",95,"CAM","FUT 22 ICONS","https://cdn.futbin.com/content/fifa22/img/clubs/112658.png","Icons","https://cdn.futbin.com/content/fifa22/img/league/2118.png","Argentina","https://cdn.futbin.com/content/fifa22/img/nation/52.png","Icon",88,91,90,95,42,75
"https://cdn.futbin.com/content/fifa22/img/players/254642.png?v=23","Ferenc Puskás",94,"CF","FUT 22 ICONS","https://cdn.futbin.com/content/fifa22/img/clubs/112658.png","Icons","https://cdn.futbin.com/content/fifa22/img/league/2118.png","Hungary","https://cdn.futbin.com/content/fifa22/img/nation/23.png","Icon",91,96,91,92,46,76
"https://cdn.futbin.com/content/fifa22/img/players/238380.png?v=23","Lev Yashin",94,"GK","FUT 22 ICONS","https://cdn.futbin.com/content/fifa22/img/clubs/112658.png","Icons","https://cdn.futbin.com/content/fifa22/img/league/2118.png","Russia","https://cdn.futbin.com/content/fifa22/img/nation/40.png","Icon",95,89,75,96,60,95
"https://cdn.futbin.com/content/fifa22/img/players/238439.png?v=23","Paolo Maldini",94,"CB","FUT 22 ICONS","https://cdn.futbin.com/content/fifa22/img/clubs/112658.png","Icons","https://cdn.futbin.com/content/fifa22/img/league/2118.png","Italy","https://cdn.futbin.com/content/fifa22/img/nation/27.png","Icon",86,56,75,69,96,83
"https://cdn.futbin.com/content/fifa22/img/players/237064.png?v=23","Ronaldo",94,"ST","FUT 22 ICONS","https://cdn.futbin.com/content/fifa22/img/clubs/112658.png","Icons","https://cdn.futbin.com/content/fifa22/img/league/2118.png","Brazil","https://cdn.futbin.com/content/fifa22/img/nation/54.png","Icon",93,93,80,93,46,80
"https://cdn.futbin.com/content/fifa22/img/players/167135.png?v=23","Carlos Alberto Torres",93,"RB","FUT 22 ICONS","https://cdn.futbin.com/content/fifa22/img/clubs/112658.png","Icons","https://cdn.futbin.com/content/fifa22/img/league/2118.png","Brazil","https://cdn.futbin.com/content/fifa22/img/nation/54.png","Icon",90,66,81,86,90,87
"https://cdn.futbin.com/content/fifa22/img/players/242519.png?v=23","Eusébio",93,"CF","FUT 22 ICONS","https://cdn.futbin.com/content/fifa22/img/clubs/112658.png","Icons","https://cdn.futbin.com/content/fifa22/img/league/2118.png","Portugal","https://cdn.futbin.com/content/fifa22/img/nation/38.png","Icon",94,94,86,93,45,79
"https://cdn.futbin.com/content/fifa22/img/players/226764.png?v=23","George Best",93,"RW","FUT 22 ICONS","https://cdn.futbin.com/content/fifa22/img/clubs/112658.png","Icons","https://cdn.futbin.com/content/fifa22/img/league/2118.png","Northern Ireland","https://cdn.futbin.com/content/fifa22/img/nation/35.png","Icon",93,91,84,94,58,71
"https://cdn.futbin.com/content/fifa22/img/players/192181.png?v=23","Marco van Basten",93,"ST","FUT 22 ICONS","https://cdn.futbin.com/content/fifa22/img/clubs/112658.png","Icons","https://cdn.futbin.com/content/fifa22/img/league/2118.png","Netherlands","https://cdn.futbin.com/content/fifa22/img/nation/34.png","Icon",83,94,76,89,39,75
"https://cdn.futbin.com/content/fifa22/img/players/214100.png?v=23","Ruud Gullit",93,"CF","FUT 22 ICONS","https://cdn.futbin.com/content/fifa22/img/clubs/112658.png","Icons","https://cdn.futbin.com/content/fifa22/img/league/2118.png","Netherlands","https://cdn.futbin.com/content/fifa22/img/nation/34.png","Icon",86,91,91,89,82,90
"https://cdn.futbin.com/content/fifa22/img/players/10535.png?v=23","Xavier Hernández",93,"CM","FUT 22 ICONS","https://cdn.futbin.com/content/fifa22/img/clubs/112658.png","Icons","https://cdn.futbin.com/content/fifa22/img/league/2118.png","Spain","https://cdn.futbin.com/content/fifa22/img/nation/45.png","Icon",81,80,95,93,72,72
"https://cdn.futbin.com/content/fifa22/img/players/158023.png?v=23","Lionel Messi",93,"RW","Paris SG","https://cdn.futbin.com/content/fifa22/img/clubs/73.png","Ligue 1 Conforama","https://cdn.futbin.com/content/fifa22/img/league/16.png","Argentina","https://cdn.futbin.com/content/fifa22/img/nation/52.png","Rare",85,92,91,95,34,65
"https://cdn.futbin.com/content/fifa22/img/players/238382.png?v=23","Alessandro Del Piero",92,"CF","FUT 22 ICONS","https://cdn.futbin.com/content/fifa22/img/clubs/112658.png","Icons","https://cdn.futbin.com/content/fifa22/img/league/2118.png","Italy","https://cdn.futbin.com/content/fifa22/img/nation/27.png","Icon",83,92,89,92,43,67
"https://cdn.futbin.com/content/fifa22/img/players/190042.png?v=23","Diego Maradona",97,"CAM","FUT 22 ICONS","https://cdn.futbin.com/content/fifa22/img/clubs/112658.png","Icons","https://cdn.futbin.com/content/fifa22/img/league/2118.png","Argentina","https://cdn.futbin.com/content/fifa22/img/nation/52.png","Icon",92,93,92,97,40,76
"https://cdn.futbin.com/content/fifa22/img/players/1397.png?v=23","Zinedine Zidane",96,"CAM","FUT 22 ICONS","https://cdn.futbin.com/content/fifa22/img/clubs/112658.png","Icons","https://cdn.futbin.com/content/fifa22/img/league/2118.png","France","https://cdn.futbin.com/content/fifa22/img/nation/18.png","Icon",85,92,96,95,75,86
"https://cdn.futbin.com/content/fifa22/img/players/237068.png?v=23","Pelé",95,"CF","FUT 22 ICONS","https://cdn.futbin.com/content/fifa22/img/clubs/112658.png","Icons","https://cdn.futbin.com/content/fifa22/img/league/2118.png","Brazil","https://cdn.futbin.com/content/fifa22/img/nation/54.png","Icon",96,93,90,95,56,75
"https://cdn.futbin.com/content/fifa22/img/players/190045.png?v=23","Johan Cruyff",94,"CF","FUT 22 ICONS","https://cdn.futbin.com/content/fifa22/img/clubs/112658.png","Icons","https://cdn.futbin.com/content/fifa22/img/league/2118.png","Netherlands","https://cdn.futbin.com/content/fifa22/img/nation/34.png","Icon",91,92,91,94,42,73
"https://cdn.futbin.com/content/fifa22/img/players/247553.png?v=23","Mané Garrincha",94,"RW","FUT 22 ICONS","https://cdn.futbin.com/content/fifa22/img/clubs/112658.png","Icons","https://cdn.futbin.com/content/fifa22/img/league/2118.png","Brazil","https://cdn.futbin.com/content/fifa22/img/nation/54.png","Icon",90,87,94,96,41,68
"https://cdn.futbin.com/content/fifa22/img/players/28130.png?v=23","Ronaldinho",94,"LW","FUT 22 ICONS","https://cdn.futbin.com/content/fifa22/img/clubs/112658.png","Icons","https://cdn.futbin.com/content/fifa22/img/league/2118.png","Brazil","https://cdn.futbin.com/content/fifa22/img/nation/54.png","Icon",92,90,91,95,37,81
"https://cdn.futbin.com/content/fifa22/img/players/248450.png?v=23","Zinedine Zidane",94,"CAM","FUT 22 ICONS","https://cdn.futbin.com/content/fifa22/img/clubs/112658.png","Icons","https://cdn.futbin.com/content/fifa22/img/league/2118.png","France","https://cdn.futbin.com/content/fifa22/img/nation/18.png","Icon",82,90,93,92,72,83
"https://cdn.futbin.com/content/fifa22/img/players/167198.png?v=23","Éric Cantona",93,"CF","FUT 22 ICONS","https://cdn.futbin.com/content/fifa22/img/clubs/112658.png","Icons","https://cdn.futbin.com/content/fifa22/img/league/2118.png","France","https://cdn.futbin.com/content/fifa22/img/nation/18.png","Icon",89,93,90,93,53,92
"https://cdn.futbin.com/content/fifa22/img/players/166906.png?v=23","Franco Baresi",93,"CB","FUT 22 ICONS","https://cdn.futbin.com/content/fifa22/img/clubs/112658.png","Icons","https://cdn.futbin.com/content/fifa22/img/league/2118.png","Italy","https://cdn.futbin.com/content/fifa22/img/nation/27.png","Icon",70,49,76,72,95,82
"https://cdn.futbin.com/content/fifa22/img/players/238435.png?v=23","Lothar Matthäus",93,"CM","FUT 22 ICONS","https://cdn.futbin.com/content/fifa22/img/clubs/112658.png","Icons","https://cdn.futbin.com/content/fifa22/img/league/2118.png","Germany","https://cdn.futbin.com/content/fifa22/img/nation/21.png","Icon",89,89,90,82,90,85
"https://cdn.futbin.com/content/fifa22/img/players/1114.png?v=23","Roberto Baggio",93,"CAM","FUT 22 ICONS","https://cdn.futbin.com/content/fifa22/img/clubs/112658.png","Icons","https://cdn.futbin.com/content/fifa22/img/league/2118.png","Italy","https://cdn.futbin.com/content/fifa22/img/nation/27.png","Icon",86,84,92,92,40,61
"https://cdn.futbin.com/content/fifa22/img/players/1625.png?v=23","Thierry Henry",93,"ST","FUT 22 ICONS","https://cdn.futbin.com/content/fifa22/img/clubs/112658.png","Icons","https://cdn.futbin.com/content/fifa22/img/league/2118.png","France","https://cdn.futbin.com/content/fifa22/img/nation/18.png","Icon",94,91,83,90,53,80
